Fuel,Year,Multiplier,,Unit,Source,Updated at,Updated by
Gas,2025,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2026,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2027,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2028,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2029,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2030,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2031,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2032,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2033,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2034,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2035,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2036,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2037,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2038,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2039,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
Gas,2040,1.0,,x of embedded 13.32 EUR/MWh(th),"retired to 1.0: HH year path now embedded in Z_Import_Gas (invest side, FEL2026 LCOE Model file V1.4 US gas macro); multiplier previously double-counted the year shape on top of the year-varying embedded VC",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
