Region,Segment,WidthShare,Price,,Unit,Source,Updated at,Updated by
ERCOT,1,0.4,250,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
ERCOT,2,0.3,1000,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
ERCOT,3,0.3,5000,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
PJM,1,0.12,300,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
PJM,2,0.88,850,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,1,0.3,600,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,2,0.35,1100,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,3,0.35,6000,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
NewYork,1,0.25,300,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
NewYork,2,0.75,750,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
NewEngland,1,0.5,1000,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
NewEngland,2,0.5,2500,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
California,1,0.3,200,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
California,2,0.35,600,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
California,3,0.35,1400,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,1,0.3,200,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,2,0.35,600,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
WECC,3,0.35,1400,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,1,0.5,400,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
SPP,2,0.5,1100,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
SERC,1,0.5,400,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
SERC,2,0.5,1100,,share / EUR/MWh,"piecewise reserve-shortage penalty per ISO tariff (ORDC/RCPF/AS scarcity, 2025 era)",2026-07-10,Konstantin Loffler <kl@wip.tu-berlin.de>
