Region,Region.1,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
California,WECC,Power,2025,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2026,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2027,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2028,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2029,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2030,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2031,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2032,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2033,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2034,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2035,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2036,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2037,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2038,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2039,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
California,WECC,Power,2040,7.583,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewEngland,Power,2025,2.395,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewEngland,Power,2026,2.395,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewEngland,Power,2027,2.395,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewEngland,Power,2028,2.395,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewEngland,Power,2029,2.395,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewEngland,Power,2030,2.395,,GW,"IC transfer capability, Low floor (MW/1000), capped at existing",2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
