Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
World,A_Air,2018,0.5,,MEUR/GW,,,
World,A_Air,2020,0.5,,MEUR/GW,,,
World,A_Air,2021,0.5,,MEUR/GW,,,
World,A_Air,2025,0.5,,MEUR/GW,,,
World,A_Air,2030,0.5,,MEUR/GW,,,
World,A_Air,2035,0.5,,MEUR/GW,,,
World,A_Air,2040,0.5,,MEUR/GW,,,
World,A_Air,2045,0.5,,MEUR/GW,,,
World,A_Air,2050,0.5,,MEUR/GW,,,
World,A_Air,2055,0.5,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,A_Air,2060,0.5,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2018,3300,,MEUR/GW,,,
World,CHP_Biomass_Solid,2020,3300,,MEUR/GW,,,
World,CHP_Biomass_Solid,2021,3300,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2025,3145,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2030,2990,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2035,2870,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2040,2750,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
World,CHP_Biomass_Solid,2045,2645,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>
