Region,Storage,Year,Value,,Unit,Source,Updated at,Updated by
World,S_Battery_Li-Ion,2018,51944.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2020,51944.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2025,51944.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2026,49351.85,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2027,46759.26,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2028,44166.67,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2029,41574.08,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2030,38981.48,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2031,36388.89,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2032,33796.3,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2033,31203.71,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2034,28611.11,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2035,26018.52,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2036,23425.93,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2037,20833.34,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2038,18240.74,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2039,15648.15,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2040,13055.56,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2045,11736.12,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2050,10416.67,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2055,10416.67,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2060,10416.67,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.5, linear from 2025",2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
