Region,Storage,Year,Value,,Unit,Source,Updated at,Updated by
World,S_Battery_Li-Ion,2018,116111.1111,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2020,64444.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2025,51944.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2030,38111.11111,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2035,24277.77778,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2040,10444.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2045,9388.88889,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2050,8333.33333,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2055,8333.33333,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2060,8333.33333,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2026,49177.77777,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2027,46411.11111,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2028,43644.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2029,40877.77777,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2031,35344.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2032,32577.77778,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2033,29811.11111,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2034,27044.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2036,21511.11111,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2037,18744.44444,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2038,15977.77778,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2039,13211.11111,,MEUR/PJ,"BESS cost sensitivity: 2040 base cost x0.4, linear from 2025",2026-07-09,Konstantin Loffler <kl@wip.tu-berlin.de>
