Region,Storage,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
World,S_PHS,2018,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2018,116111.1111,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2018,177777.7778,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_CAES,2018,1459.712727,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_H2,2018,833.3333333,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Gas_Methane,2018,12.0,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_HLI_Tank_Large,2018,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HB_Tank_Small,2018,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_HD_Pit,2018,0.01,,MEUR/PJ,Everything baked into D-technology - assumed for numerical stability,26.11.2024,Stian Backe <stian.backe@sintef.no>
World,S_PHS,2020,16162.90909,,MEUR/PJ,PNNL Storage Data; https://www.pnnl.gov/sites/default/files/media/file/ESGC%20Cost%20Performance%20Report%202022%20PNNL-33283.pdf,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Li-Ion,2020,64444.44444,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
World,S_Battery_Redox,2020,138888.8889,,MEUR/PJ,Danish Energy Agency Storage Data; https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,29.05.2024,Konstantin Löffler <kl@wip.tu-berlin.de>
