Region,Region2,Fuel,Year,Value,Unnamed: 5,Unit,Source,Updated at,Updated by
AT,DE,H2,2030,197.1,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
AT,IT,H2,2030,165.564,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
AT,SK,H2,2030,189.216,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
AT,SI,H2,2035,21.681,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
AT,SI,H2,2040,21.681,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,FR,H2,2030,141.912,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,DE,H2,2030,119.574,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,NL,H2,2030,63.072,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,NL,H2,2035,15.768,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,NL,H2,2040,15.768,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,NL,H2,2045,31.536,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,NL,H2,2050,31.536,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BE,NL,H2,2055,31.536,,PJ,same as 2050 for now; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,NL,H2,2060,31.536,,PJ,same as 2050 for now; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Nikita Moskalenko <nim@wip.tu-berlin.de>
BG,GR,H2,2030,105.076638,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BG,RO,H2,2030,23.29722,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BG,RO,H2,2035,61.101,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
BG,RO,H2,2040,61.101,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
CH,IT,H2,2030,177.39,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
CZ,DE,H2,2030,189.216,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,AT,H2,2030,197.1,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,BE,H2,2030,119.574,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,CZ,H2,2030,113.004,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,DK,H2,2030,198.414,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,FI,H2,2030,662.256,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,FR,H2,2030,252.288,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,NL,H2,2030,15.768,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,PL,H2,2030,131.4,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,CZ,H2,2035,38.106,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,DK,H2,2035,91.323,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,CZ,H2,2040,38.106,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DE,DK,H2,2040,91.323,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DK,DE,H2,2030,198.414,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DK,DE,H2,2035,91.323,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
DK,DE,H2,2040,91.323,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
EE,FI,H2,2030,131.4,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
EE,LV,H2,2030,262.8,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
ES,FR,H2,2030,283.824,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
ES,PT,H2,2030,106.434,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
ES,IT,H2,2035,210.24,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
ES,IT,H2,2040,210.24,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
FI,EE,H2,2030,262.8,,PJ,TYNDP 2022 - Annex C2; NECPEssentials scenario overlay: TYNDP 2022 Annex C2 H2 backbone kept as policy assumption (moved from base 2026-07-30),2026-07-30,Julian Bornemann <jb@wip.tu-berlin.de>
