Region,Sector,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by
AT,Buildings,2018,0.84,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2020,0.84,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2021,0.84,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2025,0.84,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2030,0.8,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2035,0.76,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2040,0.71,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2045,0.67,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2050,0.63,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2055,0.63,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AT,Buildings,2060,0.63,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,Buildings,2018,0.73,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,Buildings,2020,0.73,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,Buildings,2021,0.73,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,Buildings,2025,0.73,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
BE,Buildings,2030,0.69,,PJ,European Commission: District heating and cooling in the European Union (see assumption and/or calculation file),10.09.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
