Region,Technology,Mode_of_operation,Emission,Year,Value,,Unit,Source,Updated at,Updated by
World,CHP_Biomass_Solid,All,CO2,All,0.0,,Fraction,no source needed - all emissions go into athmosphere,22.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2018,-0.88,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2020,-0.88,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2025,-0.85,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2030,-0.85,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2035,-0.865,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2040,-0.88,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2045,-0.89,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2050,-0.90,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2055,-0.90,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); held at 2050 (post-horizon continuation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,All,CO2,2060,-0.90,,Fraction,NET negative incl. supply chain (Fajardy & Mac Dowell 2017; Stockholm Exergi ~90% design); held at 2050 (post-horizon continuation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,All,CO2,All,1.0,,Fraction,no source needed - all emissions go into athmosphere,22.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2018,0.12,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2020,0.12,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2025,0.10,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2030,0.07,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2035,0.06,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2040,0.05,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2045,0.04,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2050,0.03,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2055,0.03,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; held at 2050 (post-horizon continuation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal_CCS,All,CO2,2060,0.03,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; held at 2050 (post-horizon continuation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite,All,CO2,All,1.0,,Fraction,no source needed - all emissions go into athmosphere,22.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2018,0.12,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2020,0.12,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2025,0.10,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2030,0.07,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2035,0.06,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2040,0.05,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2045,0.04,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2050,0.03,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2055,0.03,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; held at 2050 (post-horizon continuation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Coal_Lignite_CCS,All,CO2,2060,0.03,,Fraction,same amine capture as power plants (no basis for permanent 12% penalty); NETL/IEAGHG; held at 2050 (post-horizon continuation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
World,CHP_Gas_CCGT_Biogas,All,CO2,All,0.0,,Fraction,no source needed - all emissions go into athmosphere,22.01.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
