Region,Emission,Year,Value,,Unit,Source,Updated at,Updated by
All,CO2,2018,15000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2020,30000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2025,45000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2030,60000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2035,75000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2040,90000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2045,105000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2050,120000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2055,150000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
All,CO2,2060,180000,,M€ / Gt,not necessary,04.06.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
