Region,Technology,Year,Value,Unnamed: 4,Unit,Source,Updated at,Updated by,Unnamed: 9
World,CHP_Biomass_Solid,2018,75.9,,MEUR/GW,,,,
World,CHP_Biomass_Solid,2020,75.9,,MEUR/GW,,,,
World,CHP_Biomass_Solid,2021,75.9,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2025,72.335,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2030,68.77,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2035,66.01,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2040,63.25,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2045,60.835,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2050,58.42,,MEUR/GW,Biomass CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2055,58.42,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Biomass_Solid,2060,58.42,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2018,133.584,,MEUR/GW,,,,
World,CHP_Biomass_Solid_CCS,2020,133.584,,MEUR/GW,,,,
World,CHP_Biomass_Solid_CCS,2021,133.584,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2025,127.3096,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2030,121.0352,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2035,116.1776,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2040,111.32,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2045,107.0696,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2050,102.8192,,MEUR/GW,"76% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060(post-combustion capture at new NGCC power plant, SRCCS Rep. value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2055,102.8192,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Biomass_Solid_CCS,2060,102.8192,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2018,46.7,,MEUR/GW,CHP Coal- Table 1.7- High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options- Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>,
World,CHP_Coal_Hardcoal,2020,46.7,,MEUR/GW,CHP Coal- Table 1.7- High cost of slow energy transitions for emerging countries: On the case of Egypt's pathway options- Appendix A Supplementary data,08.09.2023,Luka Garibashvili <lukaga@stud.ntnu.no>,
World,CHP_Coal_Hardcoal,2021,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2025,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2030,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2035,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2040,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2045,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2050,46.7,,MEUR/GW,Steam turbine coal supercritical CHP - Energy Technology Reference Indicator (ETRI) projections for 2010-2050 - Publications Office of the EU (europa.eu),02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2055,46.7,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal,2060,46.7,,MEUR/GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2018,76.121,,MEUR/GW,,,,
World,CHP_Coal_Hardcoal_CCS,2020,76.121,,MEUR/GW,,,,
World,CHP_Coal_Hardcoal_CCS,2021,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2025,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
World,CHP_Coal_Hardcoal_CCS,2030,76.121,,MEUR/GW,"63% increase for ccs- https://www.sciencedirect.com/science/article/pii/S1750583615001814#sec0060 (post-combustion capture at SCPC power plants using bituminous coals, SRCCS Rep.value)",02.09.2024,Alena Diesing <ad@wip.tu-berlin.de>,
