RegionSubset,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
NorthAmerica,Power,2026,218.474,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2027,232.128,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2028,245.783,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2029,259.437,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2030,273.092,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2031,286.747,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2032,300.401,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2033,314.056,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2034,327.71,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2035,341.365,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2036,355.02,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2037,368.674,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2038,382.329,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2039,395.983,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NorthAmerica,Power,2040,409.638,,GW (sum of directed pairs),aggregate IC budget: linear to 2.0x installed 2025 at 2040,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
