TechnologySubset,RegionSubset,Year,Value,,Unit,Source,Updated at,Updated by
BESS_LiIon,NorthAmerica,2026,57.003,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2027,79.043,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2028,105.022,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2029,129.601,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2030,146.571,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2031,153.821,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2032,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2033,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2034,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2035,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2036,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2037,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2038,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2039,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
BESS_LiIon,NorthAmerica,2040,155.289,,GW,"hard national BESS pin (relaxed trajectory sum, monotone)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
