TechnologySubset,RegionSubset,Year,Value,,Unit,Source,Updated at,Updated by
GasPlants,USA,2025,78.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2026,7.2,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2027,10.8,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2028,12.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2029,42.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2030,42.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2031,48.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2032,54.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2033,60.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2034,66.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2035,72.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2036,72.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2037,72.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2038,72.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2039,72.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2040,72.0,,GW,"GasPlants cap x 1.2 (demand-scaled, dc_high)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2025,0.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2026,0.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2027,1.5,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2028,3.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2029,3.86,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2030,4.71,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2031,5.57,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2032,6.43,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2033,7.29,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2034,8.14,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2035,9.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2036,9.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2037,9.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2038,9.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2039,9.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2040,9.0,,GW,SOFC annual-additions cap (dc_high),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
