TechnologySubset,RegionSubset,Year,Value,,Unit,Source,Updated at,Updated by
GasPlants,USA,2031,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2032,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2033,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2034,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2035,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2036,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2037,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2038,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2039,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2040,100.0,,GW,GasPlants annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2025,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2026,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2027,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2028,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2029,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2030,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2031,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2032,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2033,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2034,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2035,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2036,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2037,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2038,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2039,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
EGS,USA,2040,4.0,,GW,EGS annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2025,0.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2026,0.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2027,1.5,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2028,3.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2029,3.86,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2030,4.71,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2031,5.57,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2032,6.43,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2033,7.29,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2034,8.14,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2035,9.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2036,9.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2037,9.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2038,9.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2039,9.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
SOFC,USA,2040,9.0,,GW,SOFC annual-additions cap (dc_high_limitless),2026-07-04,Konstantin Loffler <kl@wip.tu-berlin.de>
