TechnologySubset,RegionSubset,Year,Value,,Unit,Source,Updated at,Updated by
GasPlants,USA,2031,48.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2032,54.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2033,60.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2034,66.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2035,72.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2036,72.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2037,72.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2038,72.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2039,72.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2040,72.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dc_high_no_sofc)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
