TechnologySubset,RegionSubset,Year,Value,,Unit,Source,Updated at,Updated by
GasPlants,USA,2031,56.4,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2032,61.2,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2033,66.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2034,72.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2035,78.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2036,78.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2037,78.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2038,78.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2039,78.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
GasPlants,USA,2040,78.0,,GW,"GasPlants cap x 1.2 post-2030 (demand-scaled, dch_eco)",2026-06-04,Konstantin Loffler <kl@wip.tu-berlin.de>
