Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
AT,CH,Gas_Natural,300,,PJ,"Assumption: first-build allowance on virgin corridor = ~9.5 GW = one mid-size new pipeline (30-36""), ACER/EHB size classes; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,CH,H2,150,,PJ,"Assumption: first-build allowance on virgin corridor = ~4.75 GW usable = EHB medium (36"") new-build class; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,CH,Power,3,,GW,Assumption: first-build allowance on virgin corridor = one modern HVDC bipole class (2x1.5-2 GW); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,CZ,Gas_Natural,300,,PJ,"Assumption: first-build allowance on virgin corridor = ~9.5 GW = one mid-size new pipeline (30-36""), ACER/EHB size classes; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,CZ,H2,150,,PJ,"Assumption: first-build allowance on virgin corridor = ~4.75 GW usable = EHB medium (36"") new-build class; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,CZ,Power,3,,GW,Assumption: first-build allowance on virgin corridor = one modern HVDC bipole class (2x1.5-2 GW); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE,Gas_Natural,300,,PJ,"Assumption: first-build allowance on virgin corridor = ~9.5 GW = one mid-size new pipeline (30-36""), ACER/EHB size classes; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE,H2,150,,PJ,"Assumption: first-build allowance on virgin corridor = ~4.75 GW usable = EHB medium (36"") new-build class; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE,Power,3,,GW,Assumption: first-build allowance on virgin corridor = one modern HVDC bipole class (2x1.5-2 GW); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE_BW,Gas_Natural,300,,PJ,"Assumption: first-build allowance on virgin corridor = ~9.5 GW = one mid-size new pipeline (30-36""), ACER/EHB size classes; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE_BW,H2,150,,PJ,"Assumption: first-build allowance on virgin corridor = ~4.75 GW usable = EHB medium (36"") new-build class; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE_BW,Power,3,,GW,Assumption: first-build allowance on virgin corridor = one modern HVDC bipole class (2x1.5-2 GW); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE_BY,Gas_Natural,300,,PJ,"Assumption: first-build allowance on virgin corridor = ~9.5 GW = one mid-size new pipeline (30-36""), ACER/EHB size classes; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE_BY,H2,150,,PJ,"Assumption: first-build allowance on virgin corridor = ~4.75 GW usable = EHB medium (36"") new-build class; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
AT,DE_BY,Power,3,,GW,Assumption: first-build allowance on virgin corridor = one modern HVDC bipole class (2x1.5-2 GW); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
