Region,Technology,Fuel,Mode_of_operation,Year,Value,Unnamed: 6,Unit,Source,Updated at,Updated by
World,CHP_Biomass_Solid,Biomass,1,2018,2.5,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2020,2.4971,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2025,2.4899,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2030,2.4828,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2035,2.4775,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2040,2.4722,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2045,2.4669,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2050,2.4616,,PJ,IEA Energy Technology Essentials (2007): Biomass for power generation and chp (power mode only) + learning rate from chp mode,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2055,2.4616,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,1,2060,2.4616,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2018,3.4622,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2020,3.4582,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2025,3.4483,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2030,3.4384,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2035,3.431,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2040,3.4237,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2045,3.4164,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2050,3.4091,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2055,3.4091,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,2,2060,3.4091,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2018,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2020,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2025,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2030,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2035,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2040,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2045,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2050,1.8182,,PJ,Energy Agency Denmark (2024): Biomass CHP average,07.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2055,1.8182,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid,Biomass,3,2060,1.8182,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2018,2.7778,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2020,2.7746,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2025,2.7666,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2030,2.7587,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2035,2.7528,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2040,2.7469,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2045,2.741,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2050,2.7352,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2055,2.7352,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,1,2060,2.7352,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2018,3.8469,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2020,3.8425,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2025,3.8314,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2030,3.8204,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2035,3.8122,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2040,3.8041,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2045,3.796,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2050,3.7879,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2055,3.7879,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,2,2060,3.7879,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2018,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2020,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2025,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2030,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2035,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2040,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2045,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2050,1.8182,,PJ,Energy Agency Denmark (2024): Generation efficiency decrease 10%,05.09.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2055,1.8182,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Biomass_Solid_CCS,Biomass,3,2060,1.8182,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2018,2.0921,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2020,2.0408,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2025,1.9802,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2030,1.9231,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2035,1.9048,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2040,1.8868,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2045,1.8692,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2050,1.8519,,PJ,Energy Agency Denmark (2024): CHP Coal,27.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2055,1.8519,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
World,CHP_Coal_Hardcoal,Hardcoal,1,2060,1.8519,,PJ,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
