Technology,Year,Value,,Unit,Source,Updated at,Updated by
CHP_Biomass_Solid,All,6.94444,,M€/PJ,DEA v0009 (biomass cycling ~ coal); Kumar 2012 anchor; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Biomass_Solid_CCS,All,6.94444,,M€/PJ,DEA v0009 (biomass cycling ~ coal); Kumar 2012 anchor; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal,All,6.94444,,M€/PJ,Kumar 2012 (NREL/SR-5500-55433) LF wear + starts; Borrero 2023; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Hardcoal_CCS,All,6.94444,,M€/PJ,Kumar 2012 (NREL/SR-5500-55433) LF wear + starts; Borrero 2023; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite,All,8.33333,,M€/PJ,Kumar 2012 + DIW DD68 Tab.25 (lignite starts 2x hardcoal); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Coal_Lignite_CCS,All,8.33333,,M€/PJ,Kumar 2012 + DIW DD68 Tab.25 (lignite starts 2x hardcoal); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas,All,2.77778,,M€/PJ,Kumar 2012 CC wear ~3 USD/MW-swing + starts 35-79 USD/MW; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Biogas_CCS,All,2.77778,,M€/PJ,Kumar 2012 CC wear ~3 USD/MW-swing + starts 35-79 USD/MW; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural,All,2.77778,,M€/PJ,Kumar 2012 CC wear ~3 USD/MW-swing + starts 35-79 USD/MW; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_Natural_CCS,All,2.77778,,M€/PJ,Kumar 2012 CC wear ~3 USD/MW-swing + starts 35-79 USD/MW; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Gas_CCGT_SynGas,All,2.77778,,M€/PJ,Kumar 2012 CC wear ~3 USD/MW-swing + starts 35-79 USD/MW; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
CHP_Oil,All,4.16667,,M€/PJ,gas-steam class (Kumar 2012); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Biomass,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Direct_Electric,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Gas_Boiler,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_H2_Boiler,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Hardcoal,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Lignite,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Oil_Boiler,All,0.0,,M€/PJ,"burner-modulated boiler, no cycling wear; deliberately 0; see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_BF_BOF,All,27.7778,,M€/PJ,kept as deterrent: hourly modulation not realistic (Feta et al. 2018 Tata IJmuiden); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_BF_BOF_CCS,All,27.7778,,M€/PJ,kept as deterrent: hourly modulation not realistic (Feta et al. 2018 Tata IJmuiden); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Bio_BF_BOF,All,27.7778,,M€/PJ,kept as deterrent: hourly modulation not realistic (Feta et al. 2018 Tata IJmuiden); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_DRI_EAF,All,8.33333,,M€/PJ,shaft furnace tau~1.27h (Ji et al. 2026); H2/HBI buffers (Vogl 2018); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,All,8.33333,,M€/PJ,shaft furnace tau~1.27h (Ji et al. 2026); H2/HBI buffers (Vogl 2018); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_H2DRI_EAF,All,8.33333,,M€/PJ,shaft furnace tau~1.27h (Ji et al. 2026); H2/HBI buffers (Vogl 2018); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Molten_Electrolysis,All,27.7778,,M€/PJ,"continuous 1600C process, smelter analogy (engineering judgment); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Scrap_EAF,All,2.77778,,M€/PJ,batch + reserve-prequalified (Paulus & Borggrefe 2011); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Biomass,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Direct_Electric,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Gas_Boiler,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_H2_Boiler,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Hardcoal,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HLI_Lignite,All,0.0,,M€/PJ,no cycling wear at boiler/burner level; deliberately 0; see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
