Technology,Year,Value,,Unit,Source,Updated at,Updated by
HB_Biomass,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Direct_Electric,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Gas_Boiler,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_H2_Boiler,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Hardcoal,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Lignite,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HB_Oil_Boiler,All,0.0,,Factor,deliberately unconstrained: full-range regulation within minutes (DEA v0017 secondary regulation); see Assumptions.txt,2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_BF_BOF,All,0.05,,Factor,"hourly modulation not realistic, day-scale banking (Feta et al. 2018); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_BF_BOF_CCS,All,0.05,,Factor,"hourly modulation not realistic, day-scale banking (Feta et al. 2018); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Bio_BF_BOF,All,0.05,,Factor,"hourly modulation not realistic, day-scale banking (Feta et al. 2018); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_DRI_EAF,All,0.2,,Factor,"shaft-furnace first-order tau~1.27h -> ~55%/h, halved (Ji et al. 2026); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_DRI_EAF_CCS,All,0.2,,Factor,"shaft-furnace first-order tau~1.27h -> ~55%/h, halved (Ji et al. 2026); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_H2DRI_EAF,All,0.2,,Factor,"shaft-furnace first-order tau~1.27h -> ~55%/h, halved (Ji et al. 2026); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Molten_Electrolysis,All,0.1,,Factor,"continuous smelter analogy +-25%/h band, halved (engineering judgment); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
HHI_Scrap_EAF,All,1.0,,Factor,"batch process, full range within the hour (Paulus & Borggrefe 2011); see Assumptions.txt",2026-07-30,Konstantin Loffler <kl@wip.tu-berlin.de>
