Region,Emission,Year,Value,,Unit,Source,Updated at,Updated by
DolAmroth,CO2,2018,0.08549,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2025,0.06964,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2030,0.04275,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2035,0.02786,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2040,0.02137,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2045,0.00855,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
DolAmroth,CO2,2050,0.00085,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2018,0.96578,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2025,0.85613,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2030,0.62776,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2035,0.42807,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2040,0.36217,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2045,0.23179,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Gondor,CO2,2050,0.09658,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2018,0.39641,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2025,0.35333,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2030,0.27749,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2035,0.212,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2040,0.19821,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2045,0.15856,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Harad,CO2,2050,0.11892,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2018,0.999,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2025,0.999,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2030,0.999,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2035,0.999,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2040,0.999,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2045,0.999,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Mordor,CO2,2050,0.999,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2018,0.41583,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2025,0.3621,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2030,0.20792,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2035,0.14484,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2040,0.12475,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2045,0.08317,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
Rohan,CO2,2050,0.04158,,Gigatonnes,LOTR test data set,08.09.2025,Konstantin Loffler <kl@wip.tu-berlin.de>
