Region,Value,Unnamed: 2,Unit,Source,Updated at,Updated by
AL,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
AT,0.4,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BA,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BE,0.2,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
BG,2.7,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
CH,2.6,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
CZ,2.7,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
DE,20,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
DK,16,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
ES,13,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
FI,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
FR,28,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
GR,2.2,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
HR,0.7,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
HU,0.04,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
IE,8.7,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
IT,2.9,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
LU,0,,Gton,Unlocking Europes CO2 Storage Potential (July 2023)- Theoretical CO2 storage capacity- Low estimates,23.10.2023,Stian Backe <stian.backe@sintef.no>
