Region,Technology,Year,Value,,Unit,Source,Updated at,Updated by
AL,D_PHS,2018,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2020,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2025,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2030,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2035,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2040,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2045,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2050,1.66,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,D_PHS,2055,1.66,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,D_PHS,2060,1.66,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Biomass,2018,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2020,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2025,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2030,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2035,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2040,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2045,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2050,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Biomass,2055,0.0,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Biomass,2060,0.0,,GW,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
AL,P_Coal_Hardcoal,2018,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Coal_Hardcoal,2020,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Coal_Hardcoal,2025,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Coal_Hardcoal,2030,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Coal_Hardcoal,2035,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
AL,P_Coal_Hardcoal,2040,0.0,,GW,Entsoe Transparency Platform - Installed Capacity per Production Type,04.09.2024,Jonathan Hanto <joh@wip.tu-berlin.de>
