Region,Fuel,Year,Value,,Unit,Source,Updated at,Updated by
World,Heat_Buildings,2050,-0.005,,annual percentage change,scenario assumptions,20.01.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2045,-0.005,,annual percentage change,scenario assumptions,20.01.2027,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2040,-0.005,,annual percentage change,scenario assumptions,20.01.2028,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2035,-0.005,,annual percentage change,scenario assumptions,20.01.2029,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2030,-0.005,,annual percentage change,scenario assumptions,20.01.2030,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Buildings,2025,-0.007,,annual percentage change,scenario assumptions,20.01.2031,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2050,-0.008,,annual percentage change,scenario assumptions,20.01.2032,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2045,-0.008,,annual percentage change,scenario assumptions,20.01.2033,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2040,-0.008,,annual percentage change,scenario assumptions,20.01.2034,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2035,-0.009,,annual percentage change,scenario assumptions,20.01.2035,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2030,-0.009,,annual percentage change,scenario assumptions,20.01.2036,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_High_Industrial,2025,-0.007,,annual percentage change,scenario assumptions,20.01.2037,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2050,-0.008,,annual percentage change,scenario assumptions,20.01.2038,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2045,-0.008,,annual percentage change,scenario assumptions,20.01.2039,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2040,-0.008,,annual percentage change,scenario assumptions,20.01.2040,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2035,-0.009,,annual percentage change,scenario assumptions,20.01.2041,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2030,-0.009,,annual percentage change,scenario assumptions,20.01.2042,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_Low_Industrial,2025,-0.007,,annual percentage change,scenario assumptions,20.01.2043,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2050,-0.008,,annual percentage change,scenario assumptions,20.01.2044,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2045,-0.008,,annual percentage change,scenario assumptions,20.01.2045,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2040,-0.008,,annual percentage change,scenario assumptions,20.01.2046,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2035,-0.009,,annual percentage change,scenario assumptions,20.01.2047,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2030,-0.009,,annual percentage change,scenario assumptions,20.01.2048,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumHigh_Industrial,2025,-0.007,,annual percentage change,scenario assumptions,20.01.2049,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2050,-0.008,,annual percentage change,scenario assumptions,20.01.2050,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2045,-0.008,,annual percentage change,scenario assumptions,20.01.2051,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2040,-0.008,,annual percentage change,scenario assumptions,20.01.2052,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2035,-0.009,,annual percentage change,scenario assumptions,20.01.2053,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2030,-0.009,,annual percentage change,scenario assumptions,20.01.2054,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Heat_MediumLow_Industrial,2025,-0.007,,annual percentage change,scenario assumptions,20.01.2055,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2050,0.01,,annual percentage change,scenario assumptions,20.01.2056,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2045,0.01,,annual percentage change,scenario assumptions,20.01.2057,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2040,0.01,,annual percentage change,scenario assumptions,20.01.2058,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2035,0.01,,annual percentage change,scenario assumptions,20.01.2059,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2030,0.01,,annual percentage change,scenario assumptions,20.01.2060,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Freight,2025,0.012,,annual percentage change,scenario assumptions,20.01.2061,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2050,0.013,,annual percentage change,scenario assumptions,20.01.2062,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2045,0.013,,annual percentage change,scenario assumptions,20.01.2063,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2040,0.013,,annual percentage change,scenario assumptions,20.01.2064,Konstantin Loffler <kl@wip.tu-berlin.de>
World,Mobility_Passenger,2035,0.013,,annual percentage change,scenario assumptions,20.01.2065,Konstantin Loffler <kl@wip.tu-berlin.de>
