Storage,Year,Value,,Unit,Source,Updated at,Updated by
S_Battery_Li-Ion,2018,1.5,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2020,1.5,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2025,1.5,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2026,1.933,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2027,2.367,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2028,2.8,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2029,3.233,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2030,3.667,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2031,4.1,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2032,4.533,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2033,4.967,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2034,5.4,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2035,5.833,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2036,6.267,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2037,6.7,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2038,7.133,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2039,7.567,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2040,8.0,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2045,8.0,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2050,8.0,,GWh/GW,E2P sensitivity: 8.0h by 2040,2026-07-08,Konstantin Loffler <kl@wip.tu-berlin.de>
