Storage,Year,Value,,Unit,Source,Updated at,Updated by
S_Battery_Redox,All,8.0,,GWh/GW,VRFB power/energy decoupled (modular) - 4h too short for LDES role; set to 8h within commercial VRFB range 4-12h (DEA tab 181 reference unit 2h is C-rate 1.0 not a duration limit),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
S_CAES,All,50.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,All,167.0,,GWh/GW,Assumed 167 MWh/MW Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,All,1.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_HLI_Tank_Large,All,60.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_HB_Tank_Small,All,1.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_PHS,All,50.0,,GWh/GW,Assumed 50 MWh/MW,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_HD_Pit,All,150.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,2025,1.5,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2026,1.755,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2027,2.01,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2028,2.265,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2029,2.52,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2030,2.775,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2031,3.03,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2032,3.285,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2033,3.54,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2034,3.795,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2035,4.05,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2036,4.64,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2037,5.23,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2038,5.82,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2039,6.41,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2040,7.0,,h,optimistic duration mix (0/5/15/80 at 2040 = ~7h); factor 1,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
