Storage,Year,Value,,Unit,Source,Updated at,Updated by
S_Battery_Redox,All,8.0,,GWh/GW,VRFB power/energy decoupled (modular) - 4h too short for LDES role; set to 8h within commercial VRFB range 4-12h (DEA tab 181 reference unit 2h is C-rate 1.0 not a duration limit),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
S_CAES,All,50.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_Gas_H2,All,167.0,,GWh/GW,Assumed 167 MWh/MW Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_Gas_Methane,All,1.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_HLI_Tank_Large,All,60.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_HB_Tank_Small,All,1.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_PHS,All,50.0,,GWh/GW,Assumed 50 MWh/MW,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_HD_Pit,All,150.0,,GWh/GW,Danish Energy Agency Storage Data - https://ens.dk/en/our-services/technology-catalogues/technology-data-energy-storage,26.11.2024,Stian Backe <stian.backe@sintef.no>
S_Battery_Li-Ion,2025,1.5,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2026,1.605,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2027,1.71,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2028,1.815,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2029,1.92,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2030,2.025,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2031,2.13,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2032,2.235,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2033,2.34,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2034,2.445,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2035,2.55,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2036,2.74,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2037,2.93,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2038,3.12,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2039,3.31,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
S_Battery_Li-Ion,2040,3.5,,h,fleet duration mix wavg (30/20/30/20 x 1/2/4/8h at 2040 = 3.5h); deviation factor 1 pins S=ratio x D,2026-07-13,Konstantin Loffler <kl@wip.tu-berlin.de>
