Region,Technology,Value,,Unit,Source,Updated at,Updated by
World,All,0.05,,Fraction,Assumption,08.09.2023,Konstantin Löffler <kl@wip.tu-berlin.de>
World,P_Coal_Hardcoal,0.085,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_Coal_Lignite,0.085,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_EGS_R1,0.07,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_EGS_R2,0.07,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_EGS_R3,0.07,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_EGS_R4,0.07,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_Gas_CCGT,0.065,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_Gas_OCGT,0.075,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_Geothermal,0.07,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_Nuclear,0.085,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_Nuclear_SMR,0.085,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_PV_Rooftop_Commercial,0.05,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_PV_Rooftop_Residential,0.05,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_PV_Utility_Avg,0.05,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_PV_Utility_Inf,0.05,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_PV_Utility_Opt,0.05,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_SOFC,0.07,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
World,P_Wind_Offshore_Deep,0.055,,Fraction,"FEL2026 LCOE Model file V1.4, dated 2026-06-18 (EU WACC column)",2026-07-23,Konstantin Loffler <kl@wip.tu-berlin.de>
