Technology,Storage,Mode_of_operation,Year,Value,Unnamed: 5,Unit,Source,Updated at,Updated by
D_Battery_Li-Ion,S_Battery_Li-Ion,2,2018,0.97,,Fraction,Energy Agency Denmark (2024)- Li-Ion Battery - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Li-Ion,S_Battery_Li-Ion,2,All,0.98,,Fraction,Energy Agency Denmark (2024)- Li-Ion Battery - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,All,0.88318,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2025,0.88318,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2026,0.88544,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2027,0.88769,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2028,0.88994,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2029,0.89219,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2030,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2031,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2032,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2033,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2034,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2035,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2036,0.89778,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2037,0.90111,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2038,0.90443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2039,0.90774,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2040,0.91104,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2045,0.91652,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2050,0.92195,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2055,0.92195,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,2,2060,0.92195,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_CAES,S_CAES,2,2018,0.756,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2020,0.8,,Fraction,Energy Agency Denmark (2024)- CAES - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2025,0.82,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2030,0.84,,Fraction,Energy Agency Denmark (2024)- CAES - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2035,0.8425,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2040,0.845,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2045,0.8475,,Fraction,Energy Agency Denmark (2024)- CAES - upper - interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2050,0.85,,Fraction,Energy Agency Denmark (2024)- CAES - upper,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2055,0.85,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2060,0.85,,Fraction,same as 2050 for now,29.01.2025,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_H2,S_Gas_H2,2,All,1.0,,Fraction,Energy Agency Denmark (2024)- Hydrogen Storage Caverns,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Gas_Methane,S_Gas_Methane,2,All,1.0,,Fraction,Assumption: Same as H2,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_HB_Tank_Small,S_HB_Tank_Small,2,All,1.0,,Fraction,Energy Agency Denmark (2024): Small Hot Water Tank,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_HD_Pit,S_HD_Pit,2,All,0.84,,Fraction,Energy Agency Denmark (2024): PTES round-trip efficiency 70 percent,26.11.2024,Stian Backe <stian.backe@sintef.no>
D_HLI_Tank_Large,S_HLI_Tank_Large,2,All,1.0,,Fraction,Energy Agency Denmark (2024): Large Hot Water Tank,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_PHS,S_PHS,2,All,0.9,,Fraction,Rozali et al. (2013): ISBN 978-88-95608-26-6,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2026,0.824,,Fraction,interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2027,0.828,,Fraction,interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2028,0.832,,Fraction,interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2029,0.836,,Fraction,interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2031,0.8405,,Fraction,interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_CAES,S_CAES,2,2032,0.841,,Fraction,interpolated,05.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
