Technology,Storage,Mode_of_operation,Year,Value,Unnamed: 5,Unit,Source,Updated at,Updated by
D_Battery_Li-Ion,S_Battery_Li-Ion,1,2018,0.98,,Fraction,Energy Agency Denmark (2024): Lithium-Ion - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Li-Ion,S_Battery_Li-Ion,1,All,0.985,,Fraction,Energy Agency Denmark (2024): Lithium-Ion - upper,01.08.2024,Nikita Moskalenko <nim@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,All,0.88318,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2025,0.88318,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2026,0.88544,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2027,0.88769,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2028,0.88994,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2029,0.89219,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2030,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2031,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2032,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2033,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2034,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2035,0.89443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2036,0.89778,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2037,0.90111,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2038,0.90443,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2039,0.90774,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2040,0.91104,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2045,0.91652,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2050,0.92195,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
D_Battery_Redox,S_Battery_Redox,1,2055,0.92195,,Fraction,DEA Technology Data for Energy Storage cat.0010 (2024) tab 181 VRFB; DC round-trip eff; charge=discharge=sqrt(RTE_DC),15.06.2026,Konstantin Loffler <kl@wip.tu-berlin.de>
