Region,Region2,Fuel,Value,,Unit,Source,Updated at,Updated by
California,WECC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,MISO,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewEngland,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,NewYork,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,PJM,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,SPP,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
Canada,WECC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
ERCOT,MISO,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
ERCOT,SERC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
ERCOT,SPP,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
ERCOT,WECC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,Canada,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,ERCOT,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,PJM,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,SERC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,SPP,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
MISO,WECC,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
NewEngland,Canada,Power,0.444626714,,M€/GWkm,Saadi et al. (2018) 10.1039/C7EE01987D,2026-06-25,Konstantin Loffler <kl@wip.tu-berlin.de>
