Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,California,WECC,SPP,MISO,ERCOT,SERC,PJM,NewYork,NewEngland,Canada
1,0.850769973,0.875779994,1.093361053,1.144457193,0.79776481,0.690170093,0.969743097,0.851302835,1.048142538,1.030113757,0.934656101,0.950761439,0.857150016,0.995147733,0.75186075,0.630454797,0.843919934,1.020619396,0.826176599,0.884134015,1.041582642,0.931226648,0.826236949,0.920166977,0.867019045,0.958727104,0.873145213,0.809193222,1.224341305,0.934656101,0.480462296,0.668386285,0.552511077,0.573764791,0.526091674,0.514127459,0.45999915,0.478366586,0.474280331,0.478366586
2,0.803988343,0.821874908,1.057345599,1.118523129,0.782717901,0.664419171,0.917792574,0.816815542,1.016352217,1.018812015,0.907876205,0.89640291,0.816750173,0.951408701,0.720676435,0.614251519,0.81486166,1.007699298,0.785507706,0.847384296,0.999884732,0.916917464,0.796067301,0.876124797,0.884883015,0.93221852,0.832553073,0.769807712,1.192048545,0.907876205,0.444868103,0.663165964,0.549630624,0.550489239,0.534799563,0.523403654,0.453752135,0.462292037,0.451773,0.462292037
3,0.770698989,0.772233501,1.003809113,1.080275049,0.776587679,0.637590567,0.857046195,0.760213716,0.994255337,0.967802892,0.839417737,0.834352136,0.753905972,0.876136879,0.680982268,0.590683115,0.772657976,0.994984281,0.746094764,0.812953734,0.961993271,0.900160656,0.761097936,0.836172248,0.867563853,0.896873742,0.795274577,0.735196202,1.116517908,0.839417737,0.439869607,0.658891887,0.542012058,0.542990718,0.528459859,0.508126665,0.452614544,0.449409446,0.456946828,0.449409446
4,0.729465584,0.732743711,0.960249881,1.016466056,0.759450922,0.612104339,0.816365362,0.70787836,0.982998437,0.904068185,0.791138488,0.786660219,0.714179459,0.800186933,0.647746719,0.574479838,0.731761145,0.98363647,0.717327503,0.76032671,0.934829072,0.885976991,0.74738446,0.808803179,0.809240715,0.870365159,0.773735891,0.716100197,1.047347168,0.791138488,0.4356136,0.662932966,0.539386727,0.530092906,0.534351546,0.529325451,0.459799928,0.459364148,0.475555111,0.459364148
5,0.726817567,0.713557155,0.922530993,0.947432936,0.74858371,0.602669896,0.786129608,0.674990993,0.991232651,0.872832661,0.76869618,0.802557525,0.698468408,0.753396341,0.622161721,0.562695636,0.706315937,0.983089587,0.708296617,0.713943569,0.925312952,0.876060977,0.736413679,0.803769787,0.753584269,0.86815611,0.766280191,0.7292287,0.989388772,0.76869618,0.425829479,0.669803689,0.537937767,0.540579916,0.547043965,0.557480871,0.489915512,0.47808919,0.495218469,0.47808919
6,0.736022578,0.712948058,0.914257173,0.924484088,0.732840185,0.592252306,0.782281421,0.662938217,1.010306844,0.865588867,0.775296859,0.823070177,0.701386175,0.718811991,0.619777854,0.564168661,0.701472891,0.984388433,0.700282452,0.687184065,0.921333483,0.892943304,0.742584743,0.805028135,0.706128618,0.87588778,0.777877946,0.732809201,0.977219201,0.775296859,0.467039668,0.713928698,0.542734217,0.553747244,0.573807679,0.590073825,0.518133476,0.526606396,0.554934859,0.526606396
7,0.7416969,0.717516286,0.897952879,0.896497687,0.722530266,0.561925963,0.829284276,0.663080432,1.009264538,0.867457659,0.783594855,0.838967483,0.717546112,0.700163567,0.636908437,0.549438409,0.71438768,1.007562578,0.702495319,0.669701189,0.905415609,0.914846398,0.767954674,0.814780332,0.69009979,0.888037548,0.788647289,0.745937705,0.97046525,0.783594855,0.515778888,0.778988325,0.551270467,0.619022251,0.609463885,0.631709116,0.551803158,0.551318764,0.587045207,0.551318764
8,0.772716525,0.695690309,0.91036361,0.857130151,0.715006812,0.560470147,0.870239979,0.669871229,1.02625412,0.868222974,0.79396735,0.82409581,0.723606089,0.705927625,0.641537575,0.568587737,0.73821854,1.042904857,0.688739664,0.664349288,0.889151694,0.936310174,0.782353824,0.792130068,0.704694912,0.907918985,0.787818878,0.747131205,0.950307784,0.79396735,0.536533875,0.825111413,0.578885446,0.657211125,0.630598869,0.656276418,0.555205225,0.57964522,0.605321297,0.57964522
9,0.812058489,0.703405538,0.948569194,0.844442983,0.716121398,0.575028304,0.857870807,0.660591659,1.023335664,0.859875703,0.837531829,0.80460879,0.754130415,0.706944812,0.644337234,0.580371939,0.765893087,1.067036045,0.681622607,0.620463701,0.894515325,0.953066982,0.681559773,0.810061527,0.710716475,0.913441607,0.811842797,0.793677718,0.993733466,0.837531829,0.542961693,0.823935799,0.590397847,0.686946772,0.619581132,0.653869098,0.548467742,0.586177049,0.590899485,0.586177049
10,0.861488137,0.724114837,1.009892805,0.858249607,0.768785578,0.616282719,0.903774179,0.66706247,1.033237568,0.892926625,0.884868125,0.871274911,0.794305815,0.696094819,0.68450263,0.584791015,0.797334447,1.084399564,0.714576372,0.637589784,0.896245529,0.961351246,0.721328855,0.855991229,0.728293704,0.950995434,0.859890637,0.831869729,1.066586246,0.884868125,0.472820902,0.792932456,0.605887767,0.676270105,0.620530487,0.641042354,0.536986525,0.561294583,0.550277444,0.561294583
