Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,California,WECC,SPP,MISO,ERCOT,SERC,PJM,NewYork,NewEngland,Canada
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24937525252525253,0.1600576341127923,0.0,0.0,0.018332944606413992,0.0,0.0,0.0,0.0,0.022101126028583804
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.08259797979797981,0.0013383768913342504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0,0,0.00000085,0,0,0,0,0,0,0,0.0000102,1.38E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.39E-06,0.0000102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0,0,0.07776225,0,0,0,0,0,0,0,0.0411961,0.014869794,0.00115005,0,0.00373405,0,0,0,0.0002856,0,0.0646782,0,0,0.0000187,0,0,0,0,0.049379815,0.0411961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.07723355,0,0.22745065,0.0146115,0.0263874,0.0020808,0,0.0002703,0,0.00183345,0.12947795,0.08002665,0.0483548,0,0.0774384,0,0,0,0.0515032,0,0.21323015,0,0.0472141,0.0472889,0,0,0.0056678,0.0006052,0.157350158,0.12947795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.2069971,0.0081124,0.35139,0.09061,0.10268935,0.01824015,0.01135685,0.02849625,0.00014535,0.02092275,0.2141983,0.188644963,0.1355223,0,0.19600065,0.00067065,0.0046597,0.0000918,0.1345975,0.0382364,0.3312688,0.00086105,0.1572619,0.15786285,0.00306595,0.00212075,0.0318852,0.0067184,0.261367917,0.2141983,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.30890275,0.04798165,0.42494815,0.16333345,0.15943875,0.0388994,0.0504237,0.0982447,0.00059415,0.0568072,0.2671091,0.282802969,0.22799295,0.0132634,0.2919563,0.0053125,0.04091305,0.01298375,0.1894514,0.1330539,0.40197775,0.00792285,0.26172775,0.26031675,0.04159475,0.0059262,0.0681581,0.01389155,0.330828783,0.2671091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.3633359,0.0995129,0.4462806,0.2203948,0.17318835,0.05322615,0.08202075,0.1977304,0.00064345,0.09606615,0.28843305,0.358007569,0.30113205,0.04545375,0.3425721,0.01162375,0.10276245,0.0343043,0.2107439,0.2425288,0.42064885,0.01726265,0.35489115,0.31727185,0.10019035,0.00587605,0.0867578,0.0184263,0.362617282,0.28843305,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.3652484,0.1498244,0.4206667,0.2428008,0.16553665,0.056168,0.09819965,0.28092075,0.0003706,0.1249687,0.28445335,0.378293669,0.34445485,0.0940491,0.346358,0.0124491,0.1646365,0.04094365,0.1950937,0.3636232,0.3907756,0.0204306,0.38687155,0.30834685,0.1384548,0.00304215,0.0858551,0.0146132,0.355728315,0.28445335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
