Source: GIS_&_Timeseries_Tool weather year 2012; usable coordinates,,,,,,,,,,
HOUR,California,ERCOT,MISO,NewEngland,NewYork,PJM,SERC,SPP,WECC,Canada
1,0.3410576923076923,0.0384,0.0,0.0,0.0,0.0,0.0,0.0,0.1648173076923076,0.003608
2,0.1190076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0068923076923076,0.0
3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0992833333333333,0.0,0.0064617647058823,0.0238327868852459,0.0,0.0,0.0002366666666666
15,0.0,0.0075483870967741,0.0240056910569105,0.2670777777777778,0.1249529411764706,0.1219490196078431,0.1817901639344262,0.0,0.0,0.0330766666666666
16,0.0,0.2422612903225806,0.0820235772357723,0.4242388888888889,0.3188294117647058,0.2577254901960784,0.3438639344262295,0.2193133333333333,0.0,0.0692846666666666
17,0.1112230769230769,0.4513483870967741,0.1520195121951219,0.4306777777777777,0.3987294117647058,0.3666166666666666,0.4751213114754098,0.4508533333333334,0.0623423076923076,0.1162286666666666
18,0.3568692307692308,0.5815580645161291,0.2136520325203252,0.4482722222222222,0.4036588235294117,0.4171382352941176,0.5693,0.62092,0.2197846153846154,0.1997133333333333
19,0.5634961538461538,0.6694225806451612,0.3032495934959349,0.4548722222222222,0.3710588235294118,0.4358578431372549,0.5786754098360656,0.7211533333333333,0.3632057692307692,0.2746453333333333
20,0.6952615384615384,0.6996096774193548,0.3705178861788618,0.5330611111111111,0.2728235294117647,0.3570862745098039,0.5953131147540984,0.7517733333333333,0.4867980769230769,0.2680713333333333
21,0.7563384615384615,0.6769290322580646,0.3870951219512195,0.3525222222222222,0.1958176470588235,0.2584049019607843,0.4698098360655737,0.70702,0.545375,0.2663773333333333
22,0.7558192307692307,0.606632258064516,0.320450406504065,0.1572722222222222,0.1064,0.1729656862745097,0.3448491803278688,0.5996133333333333,0.5277038461538461,0.2193119999999999
