Source: GIS_&_Timeseries_Tool weather year 2018; usable coordinates,,,,,,,,,
HOUR,California,ERCOT,MISO,NewEngland,NewYork,PJM,SERC,WECC,Canada
1,0.0142333333333333,1.0,0.99966,0.9644837209302324,0.9138142857142856,0.9386511627906976,0.4001041666666666,0.2652666666666667,0.8753382608695652
2,0.0068333333333333,1.0,1.0,0.9641209302325582,0.9439857142857144,0.975286046511628,0.4076177083333334,0.2287666666666666,0.8740365217391305
3,0.0084666666666666,1.0,1.0,0.9566558139534884,0.9522428571428572,0.9838906976744184,0.4305541666666666,0.18735,0.8732469565217391
4,0.0104666666666666,1.0,1.0,0.9450023255813954,0.9656785714285716,0.9910767441860464,0.4602041666666667,0.1519666666666666,0.8723069565217391
5,0.0148666666666666,1.0,0.999875,0.929679069767442,0.9781357142857142,0.997546511627907,0.4761822916666666,0.11255,0.8726643478260869
6,0.0097,1.0,0.99984,0.9104674418604652,0.9783214285714286,0.9981372093023256,0.5026739583333334,0.08755,0.87976
7,0.0107,1.0,0.999505,0.895153488372093,0.9752785714285714,0.9982953488372092,0.5339645833333333,0.0691,0.8833139130434783
8,0.0193333333333333,1.0,0.99929,0.880546511627907,0.9625571428571428,0.9972953488372092,0.5660135416666666,0.0675,0.8809182608695652
9,0.0213333333333333,1.0,0.997845,0.8505837209302325,0.9305071428571428,0.9959744186046512,0.5964416666666666,0.0706833333333333,0.8783069565217392
10,0.0141333333333333,1.0,0.99656,0.8164255813953488,0.9100857142857144,0.9949255813953488,0.6104437500000001,0.0679833333333333,0.8744217391304347
11,0.0078666666666666,1.0,0.997965,0.8199883720930233,0.9820714285714286,0.9994813953488372,0.6072885416666667,0.0851166666666666,0.8422626086956523
12,0.0048,1.0,0.99945,0.8274744186046512,0.9780571428571428,0.9992558139534884,0.6624447916666667,0.0871833333333333,0.8286869565217392
13,0.0,1.0,1.0,0.848525581395349,0.9850142857142856,0.9988883720930232,0.6887802083333333,0.06785,0.8005391304347826
14,0.0,1.0,1.0,0.8484906976744186,0.9834142857142858,0.9986534883720932,0.7292718749999999,0.0626666666666666,0.7602834782608696
15,0.0,1.0,1.0,0.8324116279069768,0.9786142857142855,0.9983558139534884,0.7689312500000001,0.0562833333333333,0.7257565217391304
16,0.0,1.0,1.0,0.8188255813953488,0.9700428571428572,0.997239534883721,0.8071958333333332,0.0530666666666666,0.6973052173913044
