Source: sourcetag; timestamp; name <email>,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HOUR,AT,BE,BG,CH,CZ,DE,DK,ES,FI,FR,GR,HR,HU,IE,IT,LU,NL,NO,PL,PT,RO,SE,SI,SK,UK,EE,LT,LV,NONEU_Balkan,TR,California,WECC,SPP,MISO,ERCOT,SERC,PJM,NewYork,NewEngland,Canada
1,0,0.422,0.524,0,0,1,0.997101113,0.361,0.371,0.721691311,0.99,0.579,0,0.964189521,0.091,0,0.969683855,0.675,0.484,0.222,0.166,0.965949468,0.482094761,0,0.778650199,0.999502839,1,1,0.953,0.931,0.0041,0.21185,0.969683855,0.9952249999999999,0.999136,0.36746875,0.8904372093023256,0.8443285714285714,0.9233790697674419,0.8526295652173913
2,0,0.405,0.506,0,0,0.968963804,0.982227491,0.346,0.341,0.667041235,0.992,0.559,0,0.966577137,0.081,0,0.903028695,0.644,0.485,0.259,0.168,0.967011894,0.483288568,0,0.738370494,0.999537859,1,1,0.947,0.919,0.0017666666666666666,0.17698333333333335,0.903028695,0.9990349999999999,0.9997440000000001,0.37568854166666665,0.9411488372093023,0.8833714285714286,0.9237790697674417,0.8545234782608696
3,0,0.405,0.49,0,0,0.891549737,0.966344093,0.327,0.355,0.609883694,0.993,0.528,0,0.965343642,0.074,0,0.755562904,0.6,0.475,0.213,0.176,0.962634262,0.482671821,0,0.761093111,0.999620309,1,1,0.941,0.912,0.0022333333333333333,0.1406,0.755562904,0.9991450000000001,0.99994,0.3985239583333333,0.957667441860465,0.8941999999999999,0.9169837209302326,0.8549539130434782
4,0,0.416,0.48,0,0,0.787946589,0.930741576,0.314,0.352,0.575051586,0.992,0.583,0,0.964282312,0.066,0,0.610813813,0.603,0.472,0.157,0.181,0.954677638,0.482141156,0,0.780873421,0.999702466,1,1,0.933,0.913,0.0029666666666666665,0.11145,0.610813813,0.998335,0.999984,0.42832291666666666,0.9680813953488372,0.90935,0.8981093023255813,0.8538834782608696
5,0,0.441,0.474,0,0,0.678798646,0.885404432,0.279,0.324,0.569605514,0.987,0.699,0,0.963397885,0.059,0,0.484760083,0.62,0.475,0.144,0.165,0.937244467,0.481698943,0,0.795925131,0.999783301,1,1,0.929,0.913,0.0037666666666666664,0.07958333333333334,0.484760083,0.9947100000000001,1.0,0.44522395833333334,0.9852023255813954,0.9272642857142858,0.8762418604651163,0.8535808695652174
6,0,0.447,0.459,0,0,0.573234477,0.828722166,0.28,0.294,0.590479707,0.976,0.791,0,0.962694282,0.055,0,0.388136613,0.653,0.488,0.184,0.144,0.921174486,0.481347141,0,0.80649822,0.999861797,1,1,0.921,0.906,0.0026666666666666666,0.057716666666666666,0.388136613,0.9961550000000001,0.999996,0.4731708333333333,0.9882860465116279,0.9274785714285715,0.8489279069767443,0.8592165217391304
7,0,0.438,0.408,0,0,0.476571802,0.770577297,0.326,0.291,0.6359002,0.951,0.834,0,0.962174448,0.053,0,0.327397464,0.658,0.516,0.261,0.108,0.905700641,0.481087224,0,0.820292203,0.99993693,1,1,0.908,0.897,0.0029,0.046250000000000006,0.327397464,0.9943799999999999,1.0,0.5064083333333333,0.9887395348837209,0.9228857142857143,0.8298813953488372,0.8620034782608695
8,0,0.454,0.336,0,0,0.388347633,0.697262688,0.372,0.258,0.69716485,0.899,0.843,0,0.961840463,0.054,0,0.304755073,0.662,0.54,0.322,0.074,0.891275035,0.485739583,0,0.836512649,1,1,1,0.876,0.892,0.007666666666666666,0.0472,0.304755073,0.9942650000000001,1.0,0.541040625,0.9855930232558139,0.90215,0.8135186046511628,0.8576234782608696
9,0,0.479,0.324,0,0,0.413932446,0.663962171,0.281,0.181,0.680726496,0.809,0.82,0,0.964530422,0.055,0,0.363741651,0.694,0.589,0.38,0.05,0.843979411,0.487145466,0,0.856214534,0.999964886,1,1,0.85,0.89,0.0098,0.05173333333333333,0.363741651,0.98762,0.999996,0.5759364583333334,0.9820116279069768,0.8622285714285713,0.7818093023255814,0.851866956521739
10,0,0.477,0.274,0,0,0.44739223,0.629920045,0.236,0.15,0.666041459,0.68,0.782,0,0.967264961,0.059,0,0.430896976,0.709,0.546,0.276,0.029,0.781709792,0.489201557,0,0.880317226,0.999920411,1,1,0.787,0.915,0.003933333333333333,0.04898333333333333,0.430896976,0.9832449999999999,1.0,0.5933052083333333,0.9804,0.8372571428571429,0.7463302325581395,0.8453121739130435
11,0,0.48,0.266,0,0,0.488446899,0.595845521,0.289,0.127,0.651678889,0.575,0.67,0,0.970032077,0.078,0,0.504847032,0.689,0.601,0.082,0.02,0.717571576,0.492505927,0,0.895727314,0.999874489,1,1,0.697,0.952,0.0020333333333333336,0.0618,0.504847032,0.9859199999999999,0.99924,0.5875302083333334,0.9944511627906977,0.9364857142857143,0.7551441860465117,0.8081139130434782
12,0,0.492,0.265,0,0,0.536450466,0.562360425,0.348,0.131,0.639351293,0.486,0.562,0,0.972820266,0.095,0,0.584018588,0.653,0.639,0.02,0.014,0.655259682,0.497617815,0,0.911943979,0.999827376,1,1,0.623,0.972,0.0010666666666666667,0.05926666666666667,0.584018588,0.99298,0.999408,0.6453416666666667,0.9937441860465117,0.9273928571428571,0.7612255813953489,0.7942521739130435
13,0,0.502,0.258,0,0,0.590585064,0.530039964,0.443,0.146,0.629187847,0.393,0.494,0,0.975617976,0.106,0,0.66662381,0.594,0.639,0.018,0.01,0.596073152,0.504975187,0,0.931163488,0.999779323,1,1,0.603,0.969,6.666666666666667e-05,0.04651666666666667,0.66662381,0.9965400000000001,0.999776,0.6746,0.9922953488372094,0.944,0.7805232558139535,0.7637313043478261
14,0,0.504,0.252,0,0,0.649807716,0.4994031,0.458,0.186,0.616868367,0.403,0.451,0,0.978413616,0.111,0,0.744858447,0.516,0.666,0.011,0.014,0.54143474,0.51486972,0,0.937940079,0.999730582,1,1,0.637,0.949,0.0,0.043166666666666666,0.744858447,0.99741,0.999836,0.7131802083333333,0.9915720930232558,0.9406642857142857,0.7838279069767442,0.7217565217391304
