Source: GIS_&_Timeseries_Tool weather year 2012; usable coordinates,,,,,,,,,
HOUR,California,ERCOT,MISO,NewEngland,NewYork,PJM,SERC,WECC,Canada
1,0.0513666666666666,0.5346411764705883,0.54304,0.4445052631578948,0.36136,0.4219479452054794,0.0392984848484848,0.28312,0.6913780821917808
2,0.0650666666666666,0.5876941176470588,0.5687472727272727,0.5783473684210526,0.46588,0.4238397260273973,0.0411530303030303,0.3573,0.6700369863013699
3,0.0702,0.6572029411764706,0.5990618181818181,0.7452842105263158,0.57866,0.4024493150684931,0.0458651515151515,0.3962,0.6449986301369862
4,0.0597333333333333,0.6875264705882353,0.6202109090909091,0.8102842105263158,0.61428,0.351658904109589,0.0518772727272727,0.37812,0.6418273972602739
5,0.0595666666666666,0.6583441176470588,0.6283072727272727,0.8275157894736842,0.6086,0.2887958904109589,0.053140909090909,0.40784,0.6454753424657534
6,0.0516333333333333,0.5542647058823529,0.5958527272727273,0.8218631578947369,0.56678,0.2156246575342466,0.0519984848484848,0.3676,0.6725369863013698
7,0.0460666666666666,0.4979294117647059,0.57074,0.8124789473684211,0.5283,0.1507054794520547,0.052285606060606,0.27802,0.715790410958904
8,0.0493,0.5093970588235295,0.5912763636363637,0.7649842105263158,0.51356,0.0971068493150685,0.0572477272727272,0.27534,0.7306219178082192
9,0.0652,0.5436617647058823,0.6305709090909091,0.7156684210526315,0.39474,0.0568027397260274,0.0594022727272727,0.3459,0.6788109589041096
10,0.1000999999999999,0.4145264705882353,0.6050836363636364,0.6446000000000001,0.2610599999999999,0.0383904109589041,0.0591,0.37744,0.599586301369863
11,0.176,0.2600558823529412,0.4668836363636363,0.5172157894736842,0.08388,0.0228630136986301,0.0540265151515151,0.39748,0.636545205479452
12,0.2190666666666666,0.1870470588235294,0.3956127272727273,0.4236684210526316,0.0223,0.0122739726027397,0.0523015151515151,0.44962,0.6590465753424657
13,0.2703333333333333,0.4125529411764705,0.3673218181818182,0.3024315789473684,0.02252,0.0144643835616438,0.055015909090909,0.46298,0.742441095890411
14,0.2418333333333333,0.7043529411764706,0.4042254545454545,0.2146157894736842,0.06258,0.0344068493150684,0.0625446969696969,0.46322,0.7468150684931507
15,0.1859666666666666,0.8362470588235295,0.4394690909090909,0.1433315789473684,0.05196,0.0839410958904109,0.0673522727272727,0.4804199999999999,0.7477410958904109
16,0.1272333333333333,0.9542970588235294,0.5123563636363636,0.1164368421052631,0.00298,0.1541534246575342,0.0727946969696969,0.5,0.742441095890411
17,0.1093333333333333,0.995641176470588,0.5908527272727272,0.1127947368421052,0.0003,0.2857178082191781,0.0929219696969697,0.512,0.7193479452054794
18,0.1090666666666666,0.9963382352941176,0.6803327272727273,0.0884105263157894,0.05134,0.4650150684931507,0.1365931818181818,0.52392,0.6225520547945206
19,0.1080333333333333,0.9755,0.7470181818181818,0.0662631578947368,0.16682,0.6525794520547945,0.1864128787878788,0.51784,0.5684178082191781
20,0.0814333333333333,0.906929411764706,0.7534072727272727,0.0664684210526315,0.3698599999999999,0.8340465753424657,0.2309,0.50006,0.5322068493150686
21,0.0567666666666666,0.8395058823529411,0.6477545454545455,0.1329473684210526,0.55998,0.9394,0.2621181818181818,0.47306,0.4839712328767123
22,0.0474999999999999,0.8358529411764706,0.5556763636363636,0.2577842105263158,0.75774,0.9827520547945204,0.283230303030303,0.43928,0.4489753424657534
23,0.0225666666666666,0.8155676470588235,0.6400618181818182,0.3517157894736842,0.7416400000000001,0.9812972602739726,0.2885939393939394,0.41586,0.4028561643835616
24,0.0226,0.8545970588235294,0.7906618181818182,0.5789052631578947,0.80634,0.9810095890410958,0.3193939393939393,0.41204,0.3464013698630137
25,0.0375666666666666,0.9229411764705882,0.9407418181818182,0.7803315789473684,0.89154,0.9827643835616438,0.3583939393939394,0.41336,0.2945041095890411
26,0.0157333333333333,0.9414617647058824,0.9710363636363636,0.910442105263158,0.95912,0.9897767123287672,0.3947939393939394,0.42152,0.2621342465753424
27,0.0025333333333333,0.9611029411764708,0.9795290909090908,0.9703315789473684,0.98802,0.9908589041095892,0.4440704545454546,0.43348,0.2845780821917808
28,0.0012333333333333,0.9784588235294118,0.9841127272727273,0.9943157894736842,1.0,0.9853191780821916,0.5017984848484848,0.45092,0.3187890410958904
29,0.0110333333333333,0.9719911764705882,0.9687290909090908,0.992978947368421,0.99818,0.9705136986301368,0.5382068181818181,0.44614,0.3487465753424658
30,0.0275666666666666,0.9687441176470588,0.961361818181818,0.9893947368421052,0.99314,0.9542150684931509,0.5619878787878788,0.3992,0.3865506849315068
31,0.0576,0.9769264705882352,0.9729090909090908,0.9811894736842106,0.97686,0.9420356164383562,0.5672681818181818,0.37422,0.4180643835616438
32,0.0987,0.9799941176470588,0.9841218181818182,0.9849473684210526,0.98408,0.9487328767123286,0.5918287878787878,0.37794,0.4711493150684931
33,0.1449333333333333,0.9804411764705884,0.9893763636363636,0.9790684210526316,0.98512,0.9509945205479452,0.6247234848484848,0.3819599999999999,0.5355561643835616
34,0.1761666666666666,0.9794264705882352,0.9864545454545456,0.9607631578947368,0.96066,0.9684671232876711,0.6555901515151514,0.37232,0.5888986301369863
35,0.1684999999999999,0.993644117647059,0.9960690909090908,0.8813789473684209,0.86948,0.9199150684931507,0.6467363636363637,0.36984,0.5517095890410959
36,0.3410333333333333,0.9807411764705882,0.9851309090909092,0.8458473684210527,0.83144,0.9326068493150684,0.6602568181818181,0.40872,0.6189753424657535
37,0.6744,0.9604058823529412,0.965878181818182,0.8674368421052632,0.87958,0.9298342465753424,0.6704075757575757,0.47624,0.6609986301369862
38,0.7147,0.9464352941176472,0.942790909090909,0.8922578947368421,0.993,0.9021808219178082,0.6649424242424242,0.55518,0.6994383561643835
39,0.6933333333333334,0.9223,0.9263309090909092,0.9221,0.999,0.8651013698630137,0.6619045454545454,0.5631999999999999,0.7278712328767123
