interface_id,region_from,region_to,year,case,ttc_mw,basis,n_projects,notes
CAISO->WECC,CAISO,WECC,2025,Low,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2025,Central,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2025,High,23877,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
CAISO->WECC,CAISO,WECC,2030,Low,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2030,Central,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2030,High,32964,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
CAISO->WECC,CAISO,WECC,2035,Low,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2035,Central,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2035,High,39427,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
CAISO->WECC,CAISO,WECC,2040,Low,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2040,Central,7583,baseline,0,
CAISO->WECC,CAISO,WECC,2040,High,48497,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
Canada->ISO-NE,Canada,ISO-NE,2025,Low,3490,baseline,0,
Canada->ISO-NE,Canada,ISO-NE,2025,Central,3490,baseline,0,
Canada->ISO-NE,Canada,ISO-NE,2025,High,3490,baseline,0,
Canada->ISO-NE,Canada,ISO-NE,2030,Low,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2030,Central,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2030,High,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2035,Low,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2035,Central,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2035,High,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2040,Low,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2040,Central,4690,baseline+project,1,
Canada->ISO-NE,Canada,ISO-NE,2040,High,4690,baseline+project,1,
Canada->MISO,Canada,MISO,2025,Low,5477,baseline,0,
Canada->MISO,Canada,MISO,2025,Central,5477,baseline,0,
Canada->MISO,Canada,MISO,2025,High,5477,baseline,0,
Canada->MISO,Canada,MISO,2030,Low,5477,baseline,0,
Canada->MISO,Canada,MISO,2030,Central,5477,baseline,0,
Canada->MISO,Canada,MISO,2030,High,5477,baseline,0,
Canada->MISO,Canada,MISO,2035,Low,5477,baseline,0,
Canada->MISO,Canada,MISO,2035,Central,5477,baseline,0,
Canada->MISO,Canada,MISO,2035,High,5477,baseline,0,
Canada->MISO,Canada,MISO,2040,Low,5477,baseline,0,
Canada->MISO,Canada,MISO,2040,Central,5477,baseline,0,
Canada->MISO,Canada,MISO,2040,High,5477,baseline,0,
Canada->NYISO,Canada,NYISO,2025,Low,3719,baseline,0,
Canada->NYISO,Canada,NYISO,2025,Central,3719,baseline,0,
Canada->NYISO,Canada,NYISO,2025,High,3719,baseline,0,
Canada->NYISO,Canada,NYISO,2030,Low,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2030,Central,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2030,High,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2035,Low,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2035,Central,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2035,High,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2040,Low,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2040,Central,4969,baseline+project,1,
Canada->NYISO,Canada,NYISO,2040,High,4969,baseline+project,1,
Canada->PJM,Canada,PJM,2025,Low,0,none,0,
Canada->PJM,Canada,PJM,2025,Central,0,none,0,
Canada->PJM,Canada,PJM,2025,High,0,none,0,
Canada->PJM,Canada,PJM,2030,Low,0,none,0,
Canada->PJM,Canada,PJM,2030,Central,0,none,0,
Canada->PJM,Canada,PJM,2030,High,0,none,0,
Canada->PJM,Canada,PJM,2035,Low,0,none,0,
Canada->PJM,Canada,PJM,2035,Central,325,project,1,new merchant-HVDC seam (no ITCS baseline)
Canada->PJM,Canada,PJM,2035,High,1000,project,1,
Canada->PJM,Canada,PJM,2040,Low,0,none,0,
Canada->PJM,Canada,PJM,2040,Central,325,project,1,new merchant-HVDC seam (no ITCS baseline)
Canada->PJM,Canada,PJM,2040,High,1000,project,1,
Canada->SPP,Canada,SPP,2025,Low,663,baseline,0,
Canada->SPP,Canada,SPP,2025,Central,663,baseline,0,
Canada->SPP,Canada,SPP,2025,High,663,baseline,0,
Canada->SPP,Canada,SPP,2030,Low,663,baseline,0,
Canada->SPP,Canada,SPP,2030,Central,663,baseline,0,
Canada->SPP,Canada,SPP,2030,High,663,baseline,0,
Canada->SPP,Canada,SPP,2035,Low,663,baseline,0,
Canada->SPP,Canada,SPP,2035,Central,663,baseline,0,
Canada->SPP,Canada,SPP,2035,High,663,baseline,0,
Canada->SPP,Canada,SPP,2040,Low,663,baseline,0,
Canada->SPP,Canada,SPP,2040,Central,663,baseline,0,
Canada->SPP,Canada,SPP,2040,High,663,baseline,0,
Canada->WECC,Canada,WECC,2025,Low,3450,baseline,0,
Canada->WECC,Canada,WECC,2025,Central,3450,baseline,0,
Canada->WECC,Canada,WECC,2025,High,3450,baseline,0,
Canada->WECC,Canada,WECC,2030,Low,3450,baseline,0,
Canada->WECC,Canada,WECC,2030,Central,3450,baseline,0,
Canada->WECC,Canada,WECC,2030,High,3450,baseline,0,
Canada->WECC,Canada,WECC,2035,Low,3450,baseline,0,
Canada->WECC,Canada,WECC,2035,Central,3450,baseline,0,
Canada->WECC,Canada,WECC,2035,High,3450,baseline,0,
Canada->WECC,Canada,WECC,2040,Low,3450,baseline,0,
Canada->WECC,Canada,WECC,2040,Central,3450,baseline,0,
Canada->WECC,Canada,WECC,2040,High,3450,baseline,0,
ERCOT->MISO,ERCOT,MISO,2025,Low,0,none,0,
ERCOT->MISO,ERCOT,MISO,2025,Central,0,none,0,
ERCOT->MISO,ERCOT,MISO,2025,High,0,none,0,
ERCOT->MISO,ERCOT,MISO,2030,Low,0,none,0,
ERCOT->MISO,ERCOT,MISO,2030,Central,0,none,0,
ERCOT->MISO,ERCOT,MISO,2030,High,5546,ntp,1,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->MISO,ERCOT,MISO,2035,Low,0,none,0,
ERCOT->MISO,ERCOT,MISO,2035,Central,2400,project,1,new merchant-HVDC seam (no ITCS baseline)
ERCOT->MISO,ERCOT,MISO,2035,High,9223,ntp,1,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->MISO,ERCOT,MISO,2040,Low,0,none,0,
ERCOT->MISO,ERCOT,MISO,2040,Central,2400,project,1,new merchant-HVDC seam (no ITCS baseline)
ERCOT->MISO,ERCOT,MISO,2040,High,15390,ntp,1,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->SERC,ERCOT,SERC,2025,Low,0,none,0,
ERCOT->SERC,ERCOT,SERC,2025,Central,0,none,0,
ERCOT->SERC,ERCOT,SERC,2025,High,0,none,0,
ERCOT->SERC,ERCOT,SERC,2030,Low,0,none,0,
ERCOT->SERC,ERCOT,SERC,2030,Central,0,none,0,
ERCOT->SERC,ERCOT,SERC,2030,High,0,none,0,
ERCOT->SERC,ERCOT,SERC,2035,Low,0,none,0,
ERCOT->SERC,ERCOT,SERC,2035,Central,0,none,0,
ERCOT->SERC,ERCOT,SERC,2035,High,0,none,0,
ERCOT->SERC,ERCOT,SERC,2040,Low,0,none,0,
ERCOT->SERC,ERCOT,SERC,2040,Central,0,none,0,
ERCOT->SERC,ERCOT,SERC,2040,High,0,none,0,
ERCOT->SPP,ERCOT,SPP,2025,Low,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2025,Central,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2025,High,820,baseline,0,register@100% governs; NTP ceiling=820 MW
ERCOT->SPP,ERCOT,SPP,2030,Low,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2030,Central,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2030,High,12774,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->SPP,ERCOT,SPP,2035,Low,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2035,Central,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2035,High,21719,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->SPP,ERCOT,SPP,2040,Low,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2040,Central,820,baseline,0,
ERCOT->SPP,ERCOT,SPP,2040,High,31191,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->WECC,ERCOT,WECC,2025,Low,0,none,0,
ERCOT->WECC,ERCOT,WECC,2025,Central,0,none,0,
ERCOT->WECC,ERCOT,WECC,2025,High,0,none,0,
ERCOT->WECC,ERCOT,WECC,2030,Low,0,none,0,
ERCOT->WECC,ERCOT,WECC,2030,Central,0,none,0,
ERCOT->WECC,ERCOT,WECC,2030,High,12905,ntp,1,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->WECC,ERCOT,WECC,2035,Low,0,none,0,
ERCOT->WECC,ERCOT,WECC,2035,Central,112,project,1,new merchant-HVDC seam (no ITCS baseline)
ERCOT->WECC,ERCOT,WECC,2035,High,14483,ntp,1,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ERCOT->WECC,ERCOT,WECC,2040,Low,0,none,0,
ERCOT->WECC,ERCOT,WECC,2040,Central,112,project,1,new merchant-HVDC seam (no ITCS baseline)
ERCOT->WECC,ERCOT,WECC,2040,High,19261,ntp,1,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ISO-NE->Canada,ISO-NE,Canada,2025,Low,2775,baseline,0,
ISO-NE->Canada,ISO-NE,Canada,2025,Central,2775,baseline,0,
ISO-NE->Canada,ISO-NE,Canada,2025,High,2775,baseline,0,
ISO-NE->Canada,ISO-NE,Canada,2030,Low,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2030,Central,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2030,High,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2035,Low,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2035,Central,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2035,High,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2040,Low,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2040,Central,3975,baseline+project,1,
ISO-NE->Canada,ISO-NE,Canada,2040,High,3975,baseline+project,1,
ISO-NE->NYISO,ISO-NE,NYISO,2025,Low,1660,baseline,0,
ISO-NE->NYISO,ISO-NE,NYISO,2025,Central,1660,baseline,0,
ISO-NE->NYISO,ISO-NE,NYISO,2025,High,3469,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ISO-NE->NYISO,ISO-NE,NYISO,2030,Low,1660,baseline,0,
ISO-NE->NYISO,ISO-NE,NYISO,2030,Central,1660,baseline,0,
ISO-NE->NYISO,ISO-NE,NYISO,2030,High,5374,ntp,0,NTP MT-HVDC cost-optimal ceiling governs (installed-GW metric; >> reliability-TTC)
ISO-NE->NYISO,ISO-NE,NYISO,2035,Low,1660,baseline,0,
ISO-NE->NYISO,ISO-NE,NYISO,2035,Central,1660,baseline,0,
